Job Title,Role,Level,Company,Year Of Experiences,Location,Salary Range,Required Skills,Source Platform
Database Administrator,Database Administrator,N/A,Navigos Group,2 năm kinh nghiệm,"HCM Office: 20th Floor, E Town Central - 11 Doan Van Bo, Ward 13, District 4; Hanoi office: 8th Floor, V Building, 125-127 Ba Trieu St, Hai Ba Trung District",Thương lượng,"MS SQL Server, Mysql, Python, Crm Databases, Ssrs",https://www.vietnamworks.com/database-administrator-1839644-jv?source=searchResults&searchType=2&placement=1839694&sortBy=date
QA Supervisor ( Nghỉ Tất Cả Thứ 7 và Chủ Nhật ),QA Supervisor Nghỉ Tất Cả Thứ 7 và Chủ Nhật,N/A,Mektec Manufacturing Corporation (Vietnam) Ltd.,5 năm kinh nghiệm,"Plot K-3&4, Thang Long Industrial Park II, Di Su Commune, My Hao District, Hung Yen Province, Vietnam.",$ 700-900 /tháng,"QA, QC, SMT Production, 8D Problem Solving, English",https://www.vietnamworks.com/qa-supervisor-nghi-tat-ca-thu-7-va-chu-nhat--1844933-jv?source=searchResults&searchType=2&placement=1844933&sortBy=date
Business Application Manager,Business Application Manager,N/A,N/A,3 năm kinh nghiệm,N/A,Thương lượng,"Application Development, Business Planning, Customer Service, ERP, Supplier Management",https://www.vietnamworks.com/business-application-manager-1841592-jv?source=searchResults&searchType=2&placement=1841792&sortBy=date
Nhân Viên Kỹ Thuật Công Nghệ Thông Tin,Nhân Viên Kỹ Thuật Công Nghệ Thông Tin,N/A,Công ty Cổ phần Công Nghệ Thiên Vận,1 năm kinh nghiệm,"1 Phổ Quang, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",Thương lượng,"Bảo Trì Hệ Thống, Công Nghệ Thông Tin, Hỗ Trợ Kỹ Thuật, Xử Lý Sự Cố, Điện Nhẹ",https://www.vietnamworks.com/nhan-vien-ky-thuat-cong-nghe-thong-tin-1839422-jv?source=searchResults&searchType=2&placement=1839972&sortBy=date
"Software Engineer - Integration Build (Opensource System, C, C++, Python) (Quantity: 04)","Software Engineer - Integration Build Opensource System, C, C++, Python Quantity: 04",N/A,LG Electronics R&D Vietnam,Không yêu cầu năm kinh nghiệm,"Tòa Lotte Mall 272 Võ Chí Công, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",Thương lượng,"C++, Python, Integration Management, Shell scripts, Linux",https://www.vietnamworks.com/software-engineer-integration-build-opensource-system-c-c-plus-plus-python-quantity-04-1838633-jv?source=searchResults&searchType=2&placement=1838633&sortBy=date
Kỹ Sư Hệ Thống (Nam - Không Yêu Cầu Kinh Nghiệm),Kỹ Sư Hệ Thống Nam - Không Yêu Cầu Kinh Nghiệm,N/A,Công Ty Cổ Phần Tư Vấn Chuyển Giao Công Nghệ ITC,1 năm kinh nghiệm,"Số 10, ngõ 81 phố Linh Lang, phường Cống Vị, quận Ba Đình, Hà Nội",Từ $ 10tr /tháng,"Công nghệ thông tin, Điện tử viễn thông, Hệ thống mạng máy tính, Cisco, VMware",https://www.vietnamworks.com/ky-su-he-thong-nam-khong-yeu-cau-kinh-nghiem-1824713-jv?source=searchResults&searchType=2&placement=1825163&sortBy=date
"Thông Báo Tuyển Dụng Chuyên Gia Nghiên Cứu, Đo Kiểm","Thông Báo Tuyển Dụng Chuyên Gia Nghiên Cứu, Đo Kiểm",N/A,TRUNG TÂM ĐO LƯỜNG CHẤT LƯỢNG VIỄN THÔNG,Không yêu cầu năm kinh nghiệm,"Tòa nhà VNTA, phố Dương Đình Nghệ, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",Từ 15tr ₫/tháng,"Công Nghệ Thông Tin, Điện Tử Viễn Thông, Tin Học Văn Phòng, Nghiên Cứu Độc Lập, Giao Tiếp Tiếng Anh",https://www.vietnamworks.com/thong-bao-tuyen-dung-chuyen-gia-nghien-cuu-do-kiem-1843945-jv?source=searchResults&searchType=2&placement=1844395&sortBy=date
MES Developer,MES Developer,N/A,VINFAST TRADING AND PRODUCTION JSC,3 năm kinh nghiệm,"Symphony Building, Chu Huy Man Street, Hanoi, Vietnam",Thương lượng,"C#, HTML/CSS, JavaScript, Microsoft SQL Server, Problem Solving",https://www.vietnamworks.com/mes-developer-1841369-jv?source=searchResults&searchType=2&placement=1841419&sortBy=date
Data Intelligence Analyst,Data Intelligence Analyst,N/A,Red2 Digital,2 năm kinh nghiệm,"466 Phan Xich Long, Ward 2, Phu Nhuan, Ho Chi Minh",Thương lượng,"SQL, BigQuery, Looker Studio, English, Python",https://www.vietnamworks.com/data-intelligence-analyst--1844572-jv?source=searchResults&searchType=2&placement=1844972&sortBy=date
"Senior Associate, Product Suppot, SPX Express (preferred QC )","Senior Associate, Product Suppot, SPX Express preferred QC",['Senior'],CÔNG TY TNHH SPX EXPRESS,3 năm kinh nghiệm,N/A,Thương lượng,"QC Systems, QC Training, Software Manual Testing, Software Testing, UAT testing",https://www.vietnamworks.com/senior-associate-product-suppot-spx-express-preferred-qc-1835766-jv?source=searchResults&searchType=2&placement=1836366&sortBy=date
Quality Assurance Engineer (Accept Fresher),Quality Assurance Engineer Accept Fresher,['Fresher'],HYUNDAI Kefico,Không yêu cầu năm kinh nghiệm,"Lô XN 01 - Khu công nghiệp Đại An - P Tứ Minh, TP Hải Dương, T Hải Dương",Thương lượng,"QA, QC, IQC, Quality assuance, Engineering",https://www.vietnamworks.com/quality-assurance-engineer-accept-fresher--1835261-jv?source=searchResults&searchType=2&placement=1835411&sortBy=date
QA Manager (Apparel),QA Manager Apparel,N/A,Navigos Search,10 năm kinh nghiệm,Hanoi / HCMC,"$ 2,000-3,000 /tháng","Quality Assurance, Quality Control, Garment Construction, Manufacture Process, English Communication",https://www.vietnamworks.com/qa-manager-apparel-1-1839208-jv?source=searchResults&searchType=2&placement=1839908&sortBy=date
IT Staff - Nhân Viên Công Nghệ Thông Tin,IT Staff - Nhân Viên Công Nghệ Thông Tin,N/A,Amata City Bien Hoa Joint Stock Company,2 năm kinh nghiệm,"Long Binh IP (AMATA), Long Binh Ward, Bien Hoa City, Dong Nai Province",Thương lượng,"IT System Administration, IT Operations, IT Hardware, IT Helpdesk, Technical Support",https://www.vietnamworks.com/it-staff-nhan-vien-cong-nghe-thong-tin--1842013-jv?source=searchResults&searchType=2&placement=1842413&sortBy=date
Senior Backend Engineer (Hybrid Working),Senior Backend Engineer Hybrid Working,['Senior'],N/A,5 năm kinh nghiệm,N/A,"$ 2,000-4,000 /tháng","Database Development, Typescript, Node.js, Docker, English Communication",https://www.vietnamworks.com/senior-backend-engineer-hybrid-working-1845111-jv?source=searchResults&searchType=2&placement=1845411&sortBy=date
Process Quality Assurance (IT Software),Process Quality Assurance IT Software,N/A,Hitachi Digital Services,4 năm kinh nghiệm,"Floor 3rd, 4th Helios Building - Floor 9th QTSC9 Building, Quang Trung Software City, Tan Chanh Hiep Ward, District 12",Thương lượng,"Communication Skills, ISO 9001, Quality Assurance, Quality Auditing, Software Process Development",https://www.vietnamworks.com/process-quality-assurance-it-software-1841952-jv?source=searchResults&searchType=2&placement=1842002&sortBy=date
Senior Embedded Software Engineer (C Language/autosar) [Joining Bonus],Senior Embedded Software Engineer C Language/autosar Joining Bonus,['Senior'],Bosch Global Software Technologies Company Limited,Không yêu cầu năm kinh nghiệm,"Etown 2, 364 Cong Hoa street, ward 13, Tan Binh district, HCM",Thương lượng,"Embedded Software, Software Engineering, Electrical, Embedded C programming",https://www.vietnamworks.com/senior-embedded-software-engineer-c-language-autosar-joining-bonus--1836955-jv?source=searchResults&searchType=2&placement=1837105&sortBy=date
Python Test Automation Engineer,Python Test Automation Engineer,N/A,LG Electronics Development Viet Nam Company Limited,Không yêu cầu năm kinh nghiệm,"Tầng 32 & 34, tòa nhà Keangnam Landmark 72, đường Phạm Hùng, Nam Từ Liêm, Hà Nội","$ 1,000-2,200 /tháng","Python, Linux, JavaScript, QML, Embedded",https://www.vietnamworks.com/python-test-automation-engineer-1823252-jv?source=searchResults&searchType=2&placement=1823252&sortBy=date
Phú Quốc - Chuyên Viên Giám Sát IT - Dự Án Park Hyatt,Phú Quốc - Chuyên Viên Giám Sát IT - Dự Án Park Hyatt,N/A,Công Ty BIM Group Kiên Giang,Không yêu cầu năm kinh nghiệm,N/A,"$ 900-1,200 /tháng","Quản Lý Cơ Điện, Giám Sát Cơ Điện, Điện Nhẹ, IT Project Management, IT Infrastructure Management",https://www.vietnamworks.com/phu-quoc-chuyen-vien-giam-sat-it-du-an-park-hyatt--1836021-jv?source=searchResults&searchType=2&placement=1836271&sortBy=date
03 Project Manager & Business Analyst,03 Project Manager & Business Analyst,N/A,Thư Viện Pháp Luật,3 năm kinh nghiệm,"Số 17 Nguyễn Gia Thiều, P6, Q3, TP. HCM (Gần Ngô Thời Nhiệm/Trần Quốc Thảo)","$ 1,700-3,000 /tháng","Lập Trình HTML, Quản Lý Điều Phối Dự Án, .NET, SQL Server, Business Analaysis",https://www.vietnamworks.com/03-project-manager-business-analyst-1838727-jv?source=searchResults&searchType=2&placement=1838877&sortBy=date
Project Coordinator,Project Coordinator,N/A,The Grand Ho Tram,Không yêu cầu năm kinh nghiệm,"Ho Tram, Phuoc Thuan, Xuyen Moc, Ba Ria Vung Tau",Thương lượng,"Điều Phối Dự Án, Project Coordination, Project Management, English",https://www.vietnamworks.com/project-coordinator--1830975-jv?source=searchResults&searchType=2&placement=1831475&sortBy=date
Trưởng Bộ Phận Quản Lý Rủi Ro và Tuân Thủ CNTT,Trưởng Bộ Phận Quản Lý Rủi Ro và Tuân Thủ CNTT,N/A,Ngân Hàng TNHH Indovina – Hội Sở,3 năm kinh nghiệm,"97A Nguyễn Văn Trỗi, P.11, Q. Phú Nhuận – Tp.HCM","$ 1,200-1,400 /tháng","IT Governance, IT Security GRC, IT Security, Bảo mật thông tin, Quản Lý Rủi Ro",https://www.vietnamworks.com/truong-bo-phan-quan-ly-rui-ro-va-tuan-thu-cntt-1834186-jv?source=searchResults&searchType=2&placement=1834386&sortBy=date
Hanoi_Senior Python Dev (Onboard After Tet Holiday)_V000008,Hanoi_Senior Python Dev Onboard After Tet Holiday _V000008,N/A,Công Ty TNHH ZIGExN VeNtura,Không yêu cầu năm kinh nghiệm,"11th Floor, Vina building, 131 Xo Viet Nghe Tinh, Ward 17, Binh Thanh Dist, HCMC, Vietnam",Thương lượng,"Python, Backend Development, Web Development, English Communication, Microservices",https://www.vietnamworks.com/hanoi-senior-python-dev-onboard-after-tet-holiday-v000008-1837934-jv?source=searchResults&searchType=2&placement=1838234&sortBy=date
Kỹ Sư Helpdesk,Kỹ Sư Helpdesk,N/A,"Công Ty Cổ Phần Công Nghệ Thông Tin, Viễn Thông Và Tự Động Hoá Dầu Khí",3 năm kinh nghiệm,"Tầng 17 tòa nhà Icon4 số 243A Đê La Thành, Láng Thượng, Đống Đa, Hà Nội",Từ 180tr ₫/năm,"IT System Administration, IT Helpdesk, WAN, MCSA, Helpdesk Management",https://www.vietnamworks.com/ky-su-helpdesk--1840723-jv?source=searchResults&searchType=2&placement=1840723&sortBy=date
IT Executive (Hanoi Head Office - 443),IT Executive Hanoi Head Office - 443,N/A,"Aeon Mall Vietnam Co., Ltd",3 năm kinh nghiệm,"HQ: 3rd Floor – East Office of AEON MALL Long Bien, No. 27 Co Linh Road, Long Bien ward, Long Bien Dist., Hanoi | Branch: 15th Floor, LIM Tower 3, 29A Nguyen Dinh Chieu Street, Dakao Ward, Dist. 1, HCMC",$ 650-800 /tháng,"Information Technology, Project Management, Infrastructure Security, Network, System Administration",https://www.vietnamworks.com/it-executive-hanoi-head-office-443--1844591-jv?source=searchResults&searchType=2&placement=1844641&sortBy=date
Hardware Engineer,Hardware Engineer,N/A,N/A,3 năm kinh nghiệm,N/A,"$ 1,000-1,500 /tháng","Hardware Design, PCB Design, Digital Electronics, Integrated Circuit Design, Problem-solving",https://www.vietnamworks.com/hardware-engineer-33-1845112-jv?source=searchResults&searchType=2&placement=1845412&sortBy=date
System Architect,System Architect,N/A,Công Ty Cổ Phần Tập Đoàn Golden Gate,5 năm kinh nghiệm,"Tầng 6, tòa nhà Toyota Thanh Xuân, 315 Trường  Chinh, Hà Nội",Thương lượng,"Software System Architecture, Linux, Java, .NET, PHP",https://www.vietnamworks.com/system-architect--1838982-jv?source=searchResults&searchType=2&placement=1839632&sortBy=date
Chuyên Viên IT (Công Ty Chứng Khoán),Chuyên Viên IT Công Ty Chứng Khoán,N/A,Công Ty Cổ Phần Chứng Khoán Asam,3 năm kinh nghiệm,"Số 3 Lê Thánh Tôn, P. Bến Nghé, Q1, Tp.HCM",Thương lượng,"Quản Trị Hệ Thống Mạng, Vận Hành Hệ Thống Phần Mềm, Cài Đặt Hệ Thống Ảo Hóa, Khắc Phục Lỗi Phần Mềm",https://www.vietnamworks.com/chuyen-vien-it-cong-ty-chung-khoan-1836049-jv?source=searchResults&searchType=2&placement=1836299&sortBy=date
Quality Assurance Specialist,Quality Assurance Specialist,N/A,Arctx Solution LLC,Không yêu cầu năm kinh nghiệm,"F7th, B tower of Epic building, Lane 19 Duy Tan, Cau Giay, Ha Noi",Thương lượng,"QA, Communications, Attention To Detail",https://www.vietnamworks.com/quality-assurance-specialist--1840320-jv?source=searchResults&searchType=2&placement=1840820&sortBy=date
Presales Network Engineer,Presales Network Engineer,N/A,Công Ty TNHH Tổng Công Ty Công Nghệ & Giải Pháp CMC (CMC TS),5 năm kinh nghiệm,"Tầng 14 & 16 Tòa nhà CMC, Phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội.","$ 1,000-2,000 /tháng","Consulting, English communication",https://www.vietnamworks.com/presales-network-engineer-1837874-jv?source=searchResults&searchType=2&placement=1837924&sortBy=date
Senior Data Analyst,Senior Data Analyst,['Senior'],Công Ty Cổ Phần Kinh Doanh F88,3 năm kinh nghiệm,"Tòa nhà N01A, 275 Nguyễn Trãi, Thanh Xuân, Hà Nội","$ 900-1,500 /tháng","Data Analytics, Oracle, AWS, Phân Tích Dữ Liệu, Tài Chính",https://www.vietnamworks.com/senior-data-analyst--1838243-jv?source=searchResults&searchType=2&placement=1838293&sortBy=date
"Japanese Business Operations Staff (in HCM, Hanoi, Da Nang)","Japanese Business Operations Staff in HCM, Hanoi, Da Nang",N/A,Hitachi Digital Services,2 năm kinh nghiệm,"Floor 3rd, 4th Helios Building - Floor 9th QTSC9 Building, Quang Trung Software City, Tan Chanh Hiep Ward, District 12",Thương lượng,"Japanese, Document, Customer service skills, System Operations, English",https://www.vietnamworks.com/japanese-business-operations-staff-in-hcm-hanoi-da-nang-1841910-jv?source=searchResults&searchType=2&placement=1842160&sortBy=date
Uipath Developer,Uipath Developer,N/A,Ngân Hàng TNHH Indovina – Hội Sở,Không yêu cầu năm kinh nghiệm,"97A Nguyễn Văn Trỗi, P.11, Q. Phú Nhuận – Tp.HCM",Thương lượng,"UI Path, RPA, Phân Tích Nghiệp Vụ, RPA Coding, Test Case Design",https://www.vietnamworks.com/uipath-developer--1838202-jv?source=searchResults&searchType=2&placement=1838202&sortBy=date
Quản Lý Dự Án CNTT,Quản Lý Dự Án CNTT,N/A,Công Ty TNHH Công Nghệ Nguyên Lộc,5 năm kinh nghiệm,"P514, Tòa CT2A KĐT Mễ Trì Hạ, P.Mễ Trì,Q.Nam Từ Liêm, Hà Nội",500-750 ₫/tháng,"IT Phần Cứng, Quản Lý Dự Án, Project Management, Tư Vấn, Tư vấn kỹ thuật",https://www.vietnamworks.com/quan-ly-du-an-cntt--1840436-jv?source=searchResults&searchType=2&placement=1840936&sortBy=date
"Bridge System Engineer (Brse, Japanese N1/n2) - Upto $2000","Bridge System Engineer Brse, Japanese N1/n2 - Upto $2000",N/A,TPS Software,3 năm kinh nghiệm,"Waseco Building, Block C, 3rd Floor, No. 10, Pho Quang St., Ward 2, Tan Binh Dist, HCMC","$ 700-2,000 /tháng","Japanese N2, Software Process Development, Technical Specification Analysis, Kỹ Sư Cầu Nối, BrSE",https://www.vietnamworks.com/bridge-system-engineer-brse-japanese-n1-n2-upto-2000-1841394-jv?source=searchResults&searchType=2&placement=1841844&sortBy=date
Chuyên Viên Tối Ưu Vận Hành Ngành TMĐT Quốc Tế Amazon Thu Nhập 15-20Tr,Chuyên Viên Tối Ưu Vận Hành Ngành TMĐT Quốc Tế Amazon Thu Nhập 15-20Tr,N/A,Công Ty TNHH Equarus Decor,1 năm kinh nghiệm,"Số 36, Louis 2, KĐT Louis City, Đại Mỗ, Nam Từ Liêm, Hà Nội",15tr-20tr ₫/tháng,"ERP, Odoo, E Commerce, Quản Lý Hiệu Suất, Quản Lý Cở Sở Dữ Liệu",https://www.vietnamworks.com/chuyen-vien-toi-uu-van-hanh-nganh-tmdt-quoc-te-amazon-thu-nhap-15-20tr-1839479-jv?source=searchResults&searchType=2&placement=1839929&sortBy=date
Kĩ Sư IBS (Chi Nhánh HN),Kĩ Sư IBS Chi Nhánh HN,N/A,Công Ty Cổ Phần Xây dựng Hạ tầng Kỹ thuật,Không yêu cầu năm kinh nghiệm,"Tầng 13, Tòa nhà Vinaconex 9, Phạm Hùng, Mễ Trì, Nam Từ Liêm, Hà Nội",6tr-10tr ₫/tháng,"Điện Tử Viễn Thông, Xử Lý Sự Cố, Tin Học Văn Phòng, Kỹ thuật, Viễn Thông",https://www.vietnamworks.com/ki-su-ibs-chi-nhanh-hn-1844685-jv?source=searchResults&searchType=2&placement=1844785&sortBy=date
System Engineer,System Engineer,N/A,N/A,5 năm kinh nghiệm,N/A,Thương lượng,"Azure, Network Management, PowerShell, Systems Engineering, Microsoft Server SQL",https://www.vietnamworks.com/system-engineer-1841597-jv?source=searchResults&searchType=2&placement=1841797&sortBy=date
Risk Analytics Supervisor,Risk Analytics Supervisor,N/A,Shinhan Vietnam Finance Company Limited,Không yêu cầu năm kinh nghiệm,17F & 23/F. Saigon Trade Center. 37 Ton Duc Thang. D.1. HCMC. Vietnam,"$ 800-1,200 /tháng","Risk Monitoring, Risk Analysis, Risk Management, SQL, Python",https://www.vietnamworks.com/risk-analytics-supervisor-1844478-jv?source=searchResults&searchType=2&placement=1844878&sortBy=date
SAP FICO Consultant,SAP FICO Consultant,N/A,Citek Technology Joint-Stock Company,1 năm kinh nghiệm,"No. 73-75, Street 41, Van Phuc Urban Area, Hiep Binh Phuoc Ward, City. Thu Duc, HCMC",Thương lượng,"SAP Business Intelligence, SAP Accounting, SAP ERP, ERP Dynamic, ERP System",https://www.vietnamworks.com/sap-fico-consultant--1839371-jv?source=searchResults&searchType=2&placement=1839621&sortBy=date
Chuyên Viên Kỹ Thuật,Chuyên Viên Kỹ Thuật,N/A,Công Ty TNHH Thiết Bị Viễn Thông ANSV,Không yêu cầu năm kinh nghiệm,Hà Nội Hồ Chí Minh,"Tới $ 1,750 /tháng","Công Nghệ Thông Tin, Điện Tử Viễn Thông, Quản Trị Mạng, Triển Khai Dự Án, Hỗ Trợ Kỹ Thuật",https://www.vietnamworks.com/chuyen-vien-ky-thuat--1843277-jv?source=searchResults&searchType=2&placement=1843477&sortBy=date
Product Solutions Manager,Product Solutions Manager,N/A,Prudential Vietnam Assurance,3 năm kinh nghiệm,"8 Đường Hoàng Văn Thái, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Thương lượng,"Communication Skills, Customer Centric, Data Analytics, Product Development, Project Management",https://www.vietnamworks.com/product-solutions-manager-1835715-jv?source=searchResults&searchType=2&placement=1835965&sortBy=date
Data Processing Intern,Data Processing Intern,N/A,Fiingroup,Không yêu cầu năm kinh nghiệm,"Level 10, Peakview Tower, 36 Hoang Cau, Dong Da, Ha Noi",Thương lượng,"Data Entry, Data Processing",https://www.vietnamworks.com/data-processing-intern-1841446-jv?source=searchResults&searchType=2&placement=1842096&sortBy=date
iOS App Developer,iOS App Developer,N/A,Cathay United Bank,5 năm kinh nghiệm,"Taipei, Taiwan",Thương lượng,"Agile Development, CI/CD, Clean Architecture, MVVM Architecture, RESTful API",https://www.vietnamworks.com/ios-app-developer-1839431-jv?source=searchResults&searchType=2&placement=1839631&sortBy=date
IT System & Network Administrator,IT System & Network Administrator,N/A,Công Ty TNHH R Techno Việt Nam,Không yêu cầu năm kinh nghiệm,"107 Đường Tân Cảng, Phường 25, Quận Bình Thạnh, TP.HCM","$ 600-1,000 /tháng","IT System Administration, IT Hardware, Technical Support, Tiếng Nhật Trung Cấp, Quản Trị Mạng Lan",https://www.vietnamworks.com/it-system-network-administrator-10--1843834-jv?source=searchResults&searchType=2&placement=1844284&sortBy=date
Product Owner - Generative AI for Enterprise Customer Operations,Product Owner - Generative AI for Enterprise Customer Operations,N/A,Trusting Social,5 năm kinh nghiệm,"Havana Tower, 132, Ham Nghi Str., Ben Thanh Ward, Dist. 1, HCMC","$ 2,000-3,000 /tháng","product owner, Product Development, business analyst, Product Management",https://www.vietnamworks.com/product-owner-generative-ai-for-enterprise-customer-operations-1837989-jv?source=searchResults&searchType=2&placement=1838289&sortBy=date
Incubation Lead,Incubation Lead,N/A,Công Ty TNHH Onpoint,5 năm kinh nghiệm,"Tầng 4 toà nhà AB, 27B Nguyễn Đình Chiểu, P. Đa Kao, Quận 1, TP.HCM",Thương lượng,"Innovation Management, Product Development, Technology, Market Research, Startup Development",https://www.vietnamworks.com/incubation-lead--1841988-jv?source=searchResults&searchType=2&placement=1842388&sortBy=date
Senior PHP Developer (React),Senior PHP Developer React,['Senior'],Arctx Solution LLC,Không yêu cầu năm kinh nghiệm,"F7th, B tower of Epic building, Lane 19 Duy Tan, Cau Giay, Ha Noi",Thương lượng,"React Js, PHP, communication, Goal Oriented, Time Management",https://www.vietnamworks.com/senior-php-developer-react-1839553-jv?source=searchResults&searchType=2&placement=1840103&sortBy=date
高級工程师,高級工程师,N/A,N/A,5 năm kinh nghiệm,N/A,"$ 1,000-2,000 /tháng","SolidWorks, AutoCAD, 新產品開發經驗, Mechanical Design, Time Management",https://www.vietnamworks.com/gao-ji-gong-cheng-shi-1835461-jv?source=searchResults&searchType=2&placement=1836161&sortBy=date
