Job Title,Role,Level,Company,Years of Experience,Location,Salary Range,Required Skills,Source Platform
Network Engineer/ Kỹ Sư Mạng,software engineer,Junior,Samsung Electronics HCMC CE Complex,1,Hồ Chí Minh,Thương lượng,"CCNA, CCNP, Khắc Phục Sự Cố Mạng, Kĩ Thuật Mạng, Xử lí sự cố mạng",Vietnamworks
[Long An] IT Manager (Chinese Speaking),IT professional,Lead/Expert,Navigos Search,6,Hồ Chí Minh,Thương lượng,"ERP systems, Chinese, IT Management, Network, Infrastructure",Vietnamworks
Senior Technology Risk Consultant in HCMC Office,IT professional,Senior,Ernst & Young Vietnam Limited (EY Vietnam),3,"Hồ Chí Minh, Hà Nội",Thương lượng,"CISA, MIS, database management, ITSM, ISO 27001",Vietnamworks
Nhân Viên Quản Lý Chất Lượng QC (Cơ Khí),Embedded Systems Engineer,Junior,Công Ty TNHH Xe Buýt Daewoo Việt Nam,2,Hồ Chí Minh,$300.00-500.00,"QC, Ô Tô, ISO, AutoCAD",Vietnamworks
IT Phần Mềm,IT professional,Junior,Japfa Comfeed Vietnam Ltd,1,Hồ Chí Minh,Thương lượng,".NET, FrontEnd, Flutter, MySQL, Lập Trình Backend",Vietnamworks
Visual Product Designer,Data Scientist,Intermediate,Navigos Group,3,"Hồ Chí Minh, Hà Nội",$1224.49-1836.73,"Adobe Creative Suite, Branding, Collaboration, Illustration, Illustration, Visual Design",Vietnamworks
Nhân Viên IT Quản Trị Hệ Thống và Mạng (IT Helpdesk),IT Support,Junior,Công Ty Cổ Phần Western Pacific,2,Hồ Chí Minh,$1000.00-2000.00,"Quản Trị Website, IT Helpdesk, IT Administration, Giải Quyết Sự Cố Mạng, An Ninh Mạng",Vietnamworks
"Database Admin (Oracle, Linux) (Senior Level)",Business Analyst,Senior,Công Ty Cổ Phần Chứng Khoán KIS Việt Nam,2,Hồ Chí Minh,$800.00-2500.00,"Data Management, DBA, Linux OS, Oracle Database, Teamwork",Vietnamworks
Nhân Viên It Phần Mềm,IT professional,Intermediate,Trường THCS Và THPT Đinh Thiện Lý ( Lawrence S.ting School ),3,Hồ Chí Minh,Thương lượng,"HTML Programming, Jquery Or Angular, Web Application Technology, Sql Query Proficiency, Software Engineering",Vietnamworks
Chuyên Viên Cao Cấp Giám Sát An Ninh Thông Tin (SOC - Senior Threat Hunting & Incident Responder),security engineer,Senior,Công Ty Cổ Phần Chứng Khoán SSI,1,Hà Nội,$1300.00-2500.00,"Analytical Skills, Incident Response, IT Monitoring, Network Security, Threat Hunting",Vietnamworks
Senior Business Analyst (Analytics Consultant),Business Analyst,Senior,MiTek Việt Nam,2,Hồ Chí Minh,Thương lượng,"Business Analysis, Data Analytics, Business Analyst, English B2, Consultant",Vietnamworks
Process Quality Assurance (IT Software),QA Engineer,Intermediate,Hitachi Digital Services,4,Hồ Chí Minh,Thương lượng,"Communication Skills, ISO 9001, Quality Assurance, Quality Auditing, Software Process Development",Vietnamworks
Hanoi_Senior Python Dev (Onboard After Tet Holiday)_V000008,Backend Developer,Senior,Công Ty TNHH ZIGExN VeNtura,N/A,Hồ Chí Minh,Thương lượng,"Python, Web Development, English Communication, Microservices",Vietnamworks
KPMG Delivery Center (Kdc) Assistant,Data Scientist,Any Level,Chi Nhánh Công Ty TNHH KPMG,N/A,Hồ Chí Minh,Thương lượng,"Data Management, Data Processing, Accounting",Vietnamworks
Project Manager (IT field | ERM | D365 F&O),Project Manager,Lead/Expert,Chi Nhánh Công Ty TNHH KPMG,5,Hồ Chí Minh,Thương lượng,"Budget Management, Budget Management, English Communication, Manage ERP Software, Project Management, Risk Management",Vietnamworks
Nhân Viên Đảm Bảo Chất Lượng Dịch Vụ - QA,QA Engineer,Junior,Công Ty Cổ Phần Viễn Thông FPT,1,Hà Nội,$61.22-1020.41,"Cải Tiến Chất Lượng, Phần mềm quản lý, Phân Tích Số Liệu, Quản Trị Mạng, Vận Hành Hệ Thống Mạng",Vietnamworks
Chuyên Viên Thiết Kế,Embedded Systems Engineer,Junior,CÔNG TY TNHH LAVITE,1,Hồ Chí Minh,$489.80-734.69,"Thiết Kế Đồ Họa, Sử Dụng Phần Mềm, Tư Duy Sáng Tạo, Quản Lý Thời Gian, Kỹ năng làm việc nhóm",Vietnamworks
Senior Software Developer (Java/c#)[ Chấp Nhận Ứng Viên Đi Làm Sau Tết ],Software Developer,Senior,"Amkor Technology Vietnam LLC.,",1,Hồ Chí Minh,Thương lượng,"C#, Java Database, Java Se, JavaScript ES4, Java Web",Vietnamworks
Solution Engineer (Ict/it Solutions),software engineer,Junior,Công Ty TNHH Công Nghệ Hồng Cơ,2,Hồ Chí Minh,$400.00-1200.00,"Hạ Tầng Công Nghệ, Hạ Tầng Hệ Thống, Kỹ Thuật Máy Tính, ICT, IT Infrastructure Management",Vietnamworks
Data/senior Data Engineer,Data Engineer,Senior,Navigos Search's Client,5,Hà Nội,$2000.00-3000.00,"Cloud Computing, Communication, Python, Scala",Vietnamworks
Phú Quốc - Chuyên Viên Giám Sát IT - Dự Án Park Hyatt,IT professional,Any Level,Công Ty BIM Group Kiên Giang,N/A,N/A,$900.00-1200.00,"Quản Lý Cơ Điện, Giám Sát Cơ Điện, Điện Nhẹ, IT Project Management, IT Infrastructure Management",Vietnamworks
Consumer Banking Data Analyst,Business Analyst,Intermediate,Cathay United Bank,3,Taiwan,Thương lượng,"English, Chinese, Data Analytics, Data Processing, SQL",Vietnamworks
IT Intern (Work in Long Thành - Shuttle Bus from Bien Hoa),IT professional,Intern/Entry-level,Mainetti (Vietnam),1,Hồ Chí Minh,Thương lượng,"IT, SAP, Master Data Management SAP, SAP System, IT Management",Vietnamworks
Machine Learning Engineer,software engineer,Any Level,Stimulai,N/A,N/A,$800.00-1500.00,"Python, Machine Learning, Data Mining, Artificial Intelligence",Vietnamworks
"Software Engineer - Integration Build (Opensource System, C, C++, Python)",Software Engineer,Any Level,LG Electronics R&D Vietnam,N/A,Hà Nội,$2200.00,"C++, Python, Integration Management, Shell scripts, Linux",Vietnamworks
Business Analyst,Business Analyst,Intermediate,Titan Dealer Management Solutions Pty. Ltd.,4,Hồ Chí Minh,Thương lượng,"Business Analysis, Software Lifecycle Management, Agile Methodologies, Data Analysis, User Acceptance Testing",Vietnamworks
Business Analysis Executive,Business Intelligence Analyst,Junior,Công Ty TNHH Coats Footwear Việt Nam,2,Đồng Nai,$1000.00-1500.00,"Business Analysis, Business Model, Forecast Analysis, Power BI, Sales Analysis",Vietnamworks
Join The Ocean Villas As A IT Officer,IT professional,Junior,The Ocean Villas At The Ocean Resort,2,Hồ Chí Minh,Thương lượng,"System Administration, SQL Server, Technical Management, Windows Server, Backup",Vietnamworks
Project Process Analyst,Backend Developer,Any Level,Công Ty TNHH Japfa Comfeed Việt Nam,N/A,"Biên Hòa, Đồng Nai",Thương lượng,"English communication, Basic Python, FastAPI, Sql Queries",Vietnamworks
Full-Stack Developer (Đào Tạo Chuyển Đổi Sang Web3 Blockchain Expert) - Work Remotely,Full-stack Developer,Lead/Expert,Công ty TNHH Đầu tư Citizen Pathway,2,Hồ Chí Minh,Thương lượng,"JavaScript, Typescript, React, Node.js, Blockchain",Vietnamworks
Senior Full Stack Developer,Full-stack Developer,Senior,SG Zone,8,Hà Nội,$1800.00-2200.00,"PHP, JavaScript, Linux, REST API",Vietnamworks
Thực Tập Sinh Công Nghệ Thông Tin,Data Scientist,Any Level,Công Ty TNHH Sản Xuất Và Kinh Doanh Vinfast - Thành Viên Của Vingroup,N/A,Hà Nội,$200.00,"Công nghệ thông tin, AI, Tiếng Anh, IT Software, Lập Trình",Vietnamworks
Data Controller & Plant Admin,DevOps Engineer,Junior,Unilever Vietnam,1,Hồ Chí Minh,$600.00-700.00,"Basic English, Data Analysis, Inventory Control, System Monitoring",Vietnamworks
"DevOps Engineer (Network, Cloud)",DevOps Engineer,Intermediate,Skylab Innogram Vietnam LLC,3,Hồ Chí Minh,Thương lượng,"DevOps, Network, Cloud, Service Operations, Shell Script",Vietnamworks
IT Analyst (MES),IT professional,Any Level,Công Ty TNHH Sản Xuất First Solar Việt Nam,N/A,Hồ Chí Minh,Thương lượng,"SQL, Software Engineering, QC Systems",Vietnamworks
PLM Maintenance Senior,Backend Developer,Senior,VINFAST TRADING AND PRODUCTION JSC,5,Hà Nội,Thương lượng,"Analytical Skills, Java Web Framework, Information Technology, Engineering Software, Framework",Vietnamworks
