Job Title,Role,Level,Years of Experience,Company,Location,Salary Range,Required Skills,Source Platform
PHP Developer,software developer,Senior,4-6,Công ty TNHH TMDV Sports Turf Solutions,Hồ Chí Minh,$816.33-1020.41,"Python, JavaScript, HTML, CSS, PHP, AWS, Laravel, MySQL, Restful API, GitHub, Bitbucket, WordPress, ERP",Careerviet
Sales B2B - Software,IT professional,Intermediate,3,CÔNG TY TNHH TƯ VẤN GIẢI PHÁP DOANH NGHIỆP TPC,Hồ Chí Minh,$1632.65,,Careerviet
Head of Engineering,software engineer,Senior,7-10,Indo Trans Logistics,Hồ Chí Minh,Negotiable,".NET, Docker, Kubernetes, AWS, Azure, GCP, ElasticSearch, Jenkins, CI/CD, Terraform, Ansible, AI, Agile, Load Balancing, Microservices",Careerviet
Product Manager(Mới),product manager,Intermediate,3-5,UrBox - Công ty Cổ phần Tiếp Thị Số Tô Quà,Hồ Chí Minh,$1224.49-2040.82,,Careerviet
Product Manager,product manager,Any Level,N/A,CareerViet,Hồ Chí Minh,Negotiable,,Careerviet
Senior Business Analyst Technical,business analyst,Senior,3,Công ty Cổ phần Sữa VitaDairy Việt Nam,Hồ Chí Minh,Negotiable,,Careerviet
Data Analyst(Mới),data analyst,Intermediate,2-5,CÔNG TY TNHH GIAO NHẬN THƯƠNG MẠI RỒNG Á CHÂU,Hồ Chí Minh,Negotiable,"Python, Power BI, Qlik, Excel, MS Excel",Careerviet
C&B Senior- Chuyên viên tiền lương & phúc lợi(Mới),N/A,Senior,2-10,Red Star Technology Company,Hồ Chí Minh,$612.24-1632.65,,Careerviet
Power Platform Developer(Mới),software developer,Intermediate,2-5,Công Ty TNHH Thương Mại Dịch Vụ  Giao Nhận Vận Tải Long Phú,Hồ Chí Minh,Negotiable,Azure,Careerviet
Software Engineer(Mới),software engineer,Any Level,N/A,Công ty TNHH Greystone Data Systems Việt Nam,Hồ Chí Minh,$408.16-1020.41,"Python, Linux",Careerviet
"IT Application Analyst (SHTP - District 9, HCMC)(Mới)",IT professional,Any Level,N/A,Techtronic Industries Vietnam Manufacturing Company Limited,Hồ Chí Minh,Negotiable,,Careerviet
Senior Backend Engineer(Mới),backend developer,Senior,3-10,Medigo Software,Hồ Chí Minh,$1000.00-1500.00,"SQL, NodeJS, AWS, TypeScript",Careerviet
Application Developer,software developer,Senior,5,Masan Consumer,Hồ Chí Minh,Negotiable,"SQL, JavaScript, HTML, CSS, React, Android, iOS",Careerviet
Kỹ sư hệ thống (System Owner)(Mới),data scientist,Junior,1,Công ty TNHH Viettel - CHT,Hà NộiHồ Chí Minh,Negotiable,"Python, Docker, Kubernetes, Linux, Bash, TensorFlow, Keras, PyTorch, Machine Learning, Deep Learning, AI, VMware",Careerviet
System Engineer,systems engineer,Intermediate,2-5,CÔNG TY TNHH SKYLAB INNOGRAM VIỆT NAM,Hồ Chí Minh,Negotiable,"Python, Kubernetes, AWS, Azure, MySQL, ElasticSearch, Terraform, Ansible, Linux, Bash, Agile, VMware, Kafka, Nginx",Careerviet
DevOps Engineer,DevOps engineer,Any Level,N/A,CÔNG TY TNHH SKYLAB INNOGRAM VIỆT NAM,Hồ Chí Minh,Negotiable,"Python, Docker, Kubernetes, AWS, Azure, Jenkins, Git, CI/CD, Ansible, Linux, JIRA, TCP/IP, Load Balancing",Careerviet
"FrontEnd Developer (ReactJS, VueJS, HTML)",frontend developer,Junior,2-3,Công ty TNHH Nasys,Hồ Chí Minh,$408.16-653.06,"JavaScript, HTML, HTML5, CSS, CSS3, AJAX, Tailwind CSS, PHP, Angular, TypeScript, Bootstrap, Sass, Laravel, UI/UX",Careerviet
Product Owner,product manager,Any Level,N/A,CareerViet,Hồ Chí Minh,Negotiable,,Careerviet
