Job Title,Role,Level,Years of Experience,Company,Location,Salary Range,Required Skills,Source Platform
Database Administrator,Business Analyst,Junior,2,Navigos Group,"Hồ Chí Minh, Hà Nội",Thương lượng,"MS SQL Server, Mysql, Python, Crm Databases, Ssrs",Vietnamworks
QA Supervisor ( Nghỉ Tất Cả Thứ 7 và Chủ Nhật ),QA Engineer,Senior,5,Mektec Manufacturing Corporation (Vietnam) Ltd.,Hưng Yên,$700.00-900.00,"QA, QC, SMT Production, 8D Problem Solving, English",Vietnamworks
Business Application Manager,Data Scientist,Lead/Expert,3,N/A,N/A,Thương lượng,"Application Development, Business Planning, Customer Service, ERP, Supplier Management",Vietnamworks
Nhân Viên Kỹ Thuật Công Nghệ Thông Tin,Data Scientist,Junior,1,Công ty Cổ phần Công Nghệ Thiên Vận,Hồ Chí Minh,Thương lượng,"Bảo Trì Hệ Thống, Công Nghệ Thông Tin, Hỗ Trợ Kỹ Thuật, Xử Lý Sự Cố, Điện Nhẹ",Vietnamworks
"Software Engineer - Integration Build (Opensource System, C, C++, Python) (Quantity: 04)",Software Engineer,Any Level,N/A,LG Electronics R&D Vietnam,Hà Nội,Thương lượng,"C++, Python, Integration Management, Shell scripts, Linux",Vietnamworks
Kỹ Sư Hệ Thống (Nam - Không Yêu Cầu Kinh Nghiệm),System Administrator,Junior,1,Công Ty Cổ Phần Tư Vấn Chuyển Giao Công Nghệ ITC,Hà Nội,$408.16,"Công nghệ thông tin, Điện tử viễn thông, Hệ thống mạng máy tính, Cisco, VMware",Vietnamworks
"Thông Báo Tuyển Dụng Chuyên Gia Nghiên Cứu, Đo Kiểm",Embedded Systems Engineer,Any Level,N/A,TRUNG TÂM ĐO LƯỜNG CHẤT LƯỢNG VIỄN THÔNG,Hà Nội,$612.24,"Công Nghệ Thông Tin, Điện Tử Viễn Thông, Tin Học Văn Phòng, Nghiên Cứu Độc Lập, Giao Tiếp Tiếng Anh",Vietnamworks
MES Developer,Software Developer,Intermediate,3,VINFAST TRADING AND PRODUCTION JSC,Hà Nội,Thương lượng,"C#, HTML/CSS, JavaScript, Microsoft SQL Server, Problem Solving",Vietnamworks
Data Intelligence Analyst,Data Scientist,Junior,2,Red2 Digital,Hồ Chí Minh,Thương lượng,"SQL, BigQuery, Looker Studio, English, Python",Vietnamworks
"Senior Associate, Product Suppot, SPX Express (preferred QC )",QA Engineer,Senior,3,CÔNG TY TNHH SPX EXPRESS,N/A,Thương lượng,"QC Systems, QC Training, Software Manual Testing, Software Testing, UAT testing",Vietnamworks
Quality Assurance Engineer (Accept Fresher),QA Engineer,Fresher,N/A,HYUNDAI Kefico,Hải Dương,Thương lượng,"QA, QC, IQC, Quality assuance, Engineering",Vietnamworks
QA Manager (Apparel),QA Engineer,Lead/Expert,10,Navigos Search,"Hà Nội, Hồ Chí Minh",$2000.00-3000.00,"Quality Assurance, Quality Control, Garment Construction, Manufacture Process, English Communication",Vietnamworks
