Job Title,Role,Level,Years of Experience,Company,Location,Salary Range,Required Skills,Source Platform,Job Link
Junior IT Business Partner (SAP PM/IPMS/SD/MM),N/A,N/A,1 - 2 Năm,CÔNG TY TNHH WILMAR MARKETING CLV,Hồ Chí Minh,10 Tr - 13 Tr VND,"Excel, SAP",Careerviet,https://careerviet.vn/vi/tim-viec-lam/junior-it-business-partner-sap-pm-ipms-sd-mm.35C28A66.html
Quản lý Đào tạo về Chuyển đổi số,N/A,N/A,2 - 4 Năm,Công Ty CP Vàng Bạc Đá Quý Phú Nhuận - PNJ,Hồ Chí Minh,Cạnh tranh,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/quan-ly-dao-tao-ve-chuyen-doi-so.35C28ABD.html
System Engineer / Kỹ sư Hệ thống(Mới),N/A,N/A,Trên 3 Năm,Chi Nhánh Thành Phố Hồ Chí Minh Công Ty TNHH SNET Việt Nam,Hồ Chí Minh,20 Tr - 25 Tr VND,"SQL, Linux, VMware",Careerviet,https://careerviet.vn/vi/tim-viec-lam/system-engineer-ky-su-he-thong.35C2D2B1.html
Information Security Analyst(Mới),N/A,N/A,4 - 5 Năm,EUROFINS VIETNAM,Hồ Chí Minh,Cạnh tranh,"Python, Analysis, Bash",Careerviet,https://careerviet.vn/vi/tim-viec-lam/information-security-analyst.35C2D1BF.html
Senior Tester (Chuyên Viên Cao Cấp Kiểm Soát Chất Lượng Sản Phẩm Công Nghệ),N/A,N/A,4 - 5 Năm,Công Ty CP Vàng Bạc Đá Quý Phú Nhuận - PNJ,Hồ Chí Minh,Cạnh tranh,"RESTful, Agile, Scrum",Careerviet,https://careerviet.vn/vi/tim-viec-lam/senior-tester-chuyen-vien-cao-cap-kiem-soat-chat-luong-san-pham-cong-nghe.35C285E4.html
CHUYÊN VIÊN IT,N/A,N/A,2 - 3 Năm,Fubon Insurance,Hồ Chí Minh,15 Tr - 25 Tr VND,"SQL, React, ReactJS, .NET, .Net, PHP, C#, RESTful, Docker, Azure, MySQL, Git, Linux, React Native",Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-it.35C2C376.html
Technical Support (Night Shift),N/A,N/A,1 - 2 Năm,CÔNG TY CỔ PHẦN MAC MARKETING,Hồ Chí Minh,14 Tr - 16 Tr VND,"PC, Networking",Careerviet,https://careerviet.vn/vi/tim-viec-lam/technical-support-night-shift.35C2C2C7.html
AI ENGINEER,N/A,N/A,5 - 6 Năm,VIETNAM GOBUY E-COMMERCE - CÔNG TY TNHH THƯƠNG MẠI ĐIỆN TỬ GOBUY VIỆT NAM,Hồ Chí Minh,25 Tr - 40 Tr VND,"Python, SQL, Data science, Docker, Kubernetes, AWS, Azure, CI/CD, TensorFlow, PyTorch, AI, NoSQL, Agile, Microservices",Careerviet,https://careerviet.vn/vi/tim-viec-lam/ai-engineer.35C28588.html
Jr - Mid Java developer,N/A,N/A,1 - 7 Năm,ISB Viet Nam Co.Ltd,Hồ Chí Minh,10 Tr - 30 Tr VND,"Java, SQL, .NET, .Net, Spring, NoSQL",Careerviet,https://careerviet.vn/vi/tim-viec-lam/jr-mid-java-developer.35C2CD55.html
Product Manager,N/A,N/A,N/A,CareerViet,Hồ Chí Minh,Cạnh tranh,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/product-manager.35C2CCEC.html
NETWORK SECURITY ENGINEER / KỸ SƯ AN NINH MẠNG,N/A,N/A,3 - 5 Năm,Chi Nhánh Thành Phố Hồ Chí Minh Công Ty TNHH SNET Việt Nam,Hồ Chí Minh,20 Tr - 30 Tr VND,"Linux, VMware, Firewall, Load Balancing",Careerviet,https://careerviet.vn/vi/tim-viec-lam/network-security-engineer-ky-su-an-ninh-mang.35C2CC27.html
SAP Consultant (PP/ PM/ QM),N/A,N/A,2 - 5 Năm,Công ty Cổ phần Sữa VitaDairy Việt Nam,Hồ Chí Minh,Cạnh tranh,SAP,Careerviet,https://careerviet.vn/vi/tim-viec-lam/sap-consultant-pp-pm-qm.35C22C58.html
Sales B2B - Software,N/A,N/A,Trên 3 Năm,CÔNG TY TNHH TƯ VẤN GIẢI PHÁP DOANH NGHIỆP TPC,Hồ Chí Minh,Lên đến 40 Tr VND,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/sales-b2b-software.35C227DF.html
Head of Engineering,N/A,N/A,7 - 10 Năm,Indo Trans Logistics,Hồ Chí Minh,Cạnh tranh,".NET, .Net, C#, Docker, Kubernetes, AWS, Azure, GCP, ElasticSearch, Jenkins, CI/CD, Terraform, Ansible, AI, Agile, Load Balancing, Microservices",Careerviet,https://careerviet.vn/vi/tim-viec-lam/head-of-engineering.35C22577.html
Product Manager,N/A,N/A,3 - 5 Năm,UrBox - Công ty Cổ phần Tiếp Thị Số Tô Quà,Hồ Chí Minh,30 Tr - 50 Tr VND,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/product-manager.35C27D71.html
Kỹ sư hệ thống (System Owner),N/A,N/A,Trên 1 Năm,Công ty TNHH Viettel - CHT,Hà NộiHồ Chí Minh,Cạnh tranh,"Python, Docker, Kubernetes, Linux, Bash, TensorFlow, Keras, PyTorch, Machine Learning, Deep Learning, AI, VMware",Careerviet,https://careerviet.vn/vi/tim-viec-lam/ky-su-he-thong-system-owner.35C27900.html
Chuyên Viên Vận Hành Hệ Thống - Tài Chính & Chi Phí (ITBP Finance & Costing Specialist),N/A,N/A,N/A,BETRIMEX - Công Ty Cổ Phần Xuất Nhập Khẩu Bến Tre,Hồ Chí Minh,Cạnh tranh,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-van-hanh-he-thong-tai-chinh-chi-phi-itbp-finance-costing-specialist.35C21DCF.html
Software Engineer,N/A,N/A,N/A,Công ty TNHH Greystone Data Systems Việt Nam,Hồ Chí Minh,10 Tr - 25 Tr VND,"Python, C#, C/C++, Linux",Careerviet,https://careerviet.vn/vi/tim-viec-lam/software-engineer.35C2B4C4.html
Senior Business Analyst Technical,N/A,N/A,3 Năm,Công ty Cổ phần Sữa VitaDairy Việt Nam,Hồ Chí Minh,Cạnh tranh,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/senior-business-analyst-technical.35C26E54.html
DevOps Engineer,N/A,N/A,N/A,CÔNG TY TNHH SKYLAB INNOGRAM VIỆT NAM,Hồ Chí Minh,Cạnh tranh,"Python, Docker, Kubernetes, AWS, Azure, Jenkins, Git, CI/CD, Ansible, Linux, JIRA, TCP/IP, Load Balancing",Careerviet,https://careerviet.vn/vi/tim-viec-lam/devops-engineer.35C26559.html
System Engineer,N/A,N/A,2 - 5 Năm,CÔNG TY TNHH SKYLAB INNOGRAM VIỆT NAM,Hồ Chí Minh,Cạnh Tranh,"Python, Kubernetes, AWS, Azure, MySQL, ElasticSearch, Terraform, Ansible, Linux, Bash, Agile, VMware, Kafka, Nginx",Careerviet,https://careerviet.vn/vi/tim-viec-lam/system-engineer.35C2655F.html
Nhân viên Vận hành hệ thống phần mềm (Nhận việc sau Tết)(Mới),N/A,N/A,Trên 1 Năm,Công Ty TNHH Anh Tin,Hồ Chí Minh,10 Tr - 15 Tr VND,Excel,Careerviet,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-van-hanh-he-thong-phan-mem-nhan-viec-sau-tet.35C2D47D.html
