Job Title,Role,Level,Years of Experience,Company,Location,Salary Range,Required Skills,Job URL,Source Platform
Chương Trình Đào Tạo IT Fresher - The Rookie To Engineer Batch 8- Automation Test - Up To 17M,,Thực tập sinh,Không yêu cầu kinh nghiệm,NashTech,Hà Nội & 2 nơi khác,Thoả thuận,"Kiến Thức Cơ Bản Về Kiểm Thử Phần Mềm, Khả Năng Viết Testcase, Khả Năng Sử Dụng Ít Nhất Một Framework Test Automation (selenium, Cypress, Appium,...), Hiểu Biết Về Các Phương Pháp Kiểm Thử Phần Mềm (ví Dụ: Kiểm Thử Hộp Đen, Kiểm Thử Hộp Trắng), Khả Năng Lập Trình (java, Python, C# Hoặc Các Ngôn Ngữ Khác)",https://www.topcv.vn/viec-lam/chuong-trinh-dao-tao-it-fresher-the-rookie-to-engineer-batch-8-automation-test-up-to-17m/1564843.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
Playable Ads (Level Fresher),,Nhân viên,Dưới 1 năm,JOYBIT,Hà Nội,8 - 15 triệu,N/A,https://www.topcv.vn/viec-lam/playable-ads-level-fresher/1571742.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
Product Manager/ Product Owner,,Giám đốc,1 năm,CÔNG TY CỔ PHẦN JETPAY,Hà Nội,40 - 50 triệu,"Phân Tích Thị Trường, Quản Lý Sản Phẩm, Quản Lý Backlog, Xây Dựng Chiến Lược Sản Phẩm, Quản Lý Roadmap Sản Phẩm",https://www.topcv.vn/viec-lam/product-manager-product-owner/1571481.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
Chuyên Viên Triển Khai Phần Mềm B2B,,Nhân viên,2 năm,Công ty TNHH 1C Việt Nam,Hà Nội,Thoả thuận,"Làm việc nhóm, Tài Chính, Quản Lý Sản Xuất, Triển Khai Phần Mềm, Cài Đặt Phần Mềm, Kiểm thử phần mềm, Khắc phục sự cố",https://www.topcv.vn/viec-lam/chuyen-vien-trien-khai-phan-mem-b2b/1559723.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
Nhân Viên Phát Triển Kinh Doanh Sales B2B - Lương Cứng Upto 20 Triệu ( Có Thể Onboard Sau Tết ),,Nhân viên,1 năm,CÔNG TY CỔ PHẦN CÔNG NGHỆ FLYER,Hà Nội,Tới 20 triệu,"Xây Dựng Mối Quan Hệ Khách Hàng, Kỹ Năng Bán Hàng B2b, Thuyết Trình Và Đàm Phán, Lập Kế Hoạch Và Quản Lý Doanh Số, Khai Thác Khách Hàng Tiềm Năng",https://www.topcv.vn/viec-lam/nhan-vien-phat-trien-kinh-doanh-sales-b2b-luong-cung-upto-20-trieu-co-the-onboard-sau-tet/1565495.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
Nhân Viên Kế Toán Nội Bộ Kiêm Admin - Mạnh Phần Mềm (Thu Nhập Upto 15M),,Nhân viên,1 năm,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI TBESTPRO,Hà Nội,10 - 15 triệu,"Kế Toán, Kiểm Toán, Phân Tích Tài Chính, Quản Lý Tài Chính, Sử Dụng Phần Mềm Kế Toán",https://www.topcv.vn/viec-lam/nhan-vien-ke-toan-noi-bo-kiem-admin-manh-phan-mem-thu-nhap-upto-15m/1540224.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
Implementation Specialist (Good English; Night Shift),,Nhân viên,1 năm,CÔNG TY TNHH DICENTRAL VIỆT NAM,Hồ Chí Minh,Thoả thuận,"Làm việc nhóm, Giao tiếp, Triển Khai Phần Mềm, Giải quyết vấn đề, Tiếng Anh (trình Độ Tốt)",https://www.topcv.vn/viec-lam/implementation-specialist-good-english-night-shift/1565010.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
Nhân Viên Kinh Doanh,,Nhân viên,1 năm,CÔNG TY CỔ PHẦN PGT SOLUTIONS,Hồ Chí Minh,Thoả thuận,"Kỹ năng giao tiếp, Kỹ năng đàm phán, Kỹ năng tìm kiếm khách hàng, kỹ năng thuyết trình, Xây Dựng Mối Quan Hệ Khách Hàng, Hiểu Biết Về Công Nghệ Thông Tin",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh/1564250.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
Account Manager (Thị Trường Tiếng Hàn) - Chấp Nhận Ứng Viên Có Kinh Nghiệm Ngành Non-IT,,Trưởng/Phó phòng,2 năm,Công ty CP Phần mềm MOR,Hà Nội,Tới 30 triệu,"Kỹ năng xây dựng mối quan hệ, kỹ năng thuyết trình, Kỹ Năng Giao Tiếp Và Đàm Phán, Kỹ Năng Lập Kế Hoạch Và Tổ Chức, Kỹ Năng Quản Lý Khách Hàng",https://www.topcv.vn/viec-lam/account-manager-thi-truong-tieng-han-chap-nhan-ung-vien-co-kinh-nghiem-nganh-non-it/1539184.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
AI Lead (Vision) Up To 3000$,,Trưởng nhóm,2 năm,CÔNG TY CỔ PHẦN CÔNG NGHỆ VIỄN THÔNG- TIN HỌC,Hà Nội,"Tới 3,000 USD","Python, Intermedidate English, Computer Vision, Thiết Kế Kiến Trúc, Tensorflow/Pytorch, Model Training And Deployment, C++., TensorRT, ONXX Runtime",https://www.topcv.vn/viec-lam/ai-lead-vision-up-to-3000/1570687.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735585548,TopCV
