Job Title,Role,Level,Years of Experience,Company,Location,Salary Range,Required Skills,Source Platform,Job Link
PHP Developer,,,4 - 6 Năm,Công ty TNHH TMDV Sports Turf Solutions,Hồ Chí Minh,20 Tr - 25 Tr VND,"Python, JavaScript, HTML, CSS, PHP, AWS, Laravel, MySQL, Restful API, GitHub, Bitbucket, WordPress, ERP",Careerviet,https://careerviet.vn/vi/tim-viec-lam/php-developer.35C227E5.html
Sales B2B - Software,,,Trên 3 Năm,CÔNG TY TNHH TƯ VẤN GIẢI PHÁP DOANH NGHIỆP TPC,Hồ Chí Minh,Lên đến 40 Tr VND,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/sales-b2b-software.35C227DF.html
Head of Engineering,,,7 - 10 Năm,Indo Trans Logistics,Hồ Chí Minh,Cạnh tranh,".NET, Docker, Kubernetes, AWS, Azure, GCP, ElasticSearch, Jenkins, CI/CD, Terraform, Ansible, AI, Agile, Load Balancing, Microservices",Careerviet,https://careerviet.vn/vi/tim-viec-lam/head-of-engineering.35C22577.html
Product Manager(Mới),,,3 - 5 Năm,UrBox - Công ty Cổ phần Tiếp Thị Số Tô Quà,Hồ Chí Minh,30 Tr - 50 Tr VND,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/product-manager.35C27D71.html
Product Manager,,,,CareerViet,Hồ Chí Minh,Cạnh tranh,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/product-manager.35C21DEE.html
Senior Business Analyst Technical,,,3 Năm,Công ty Cổ phần Sữa VitaDairy Việt Nam,Hồ Chí Minh,Cạnh tranh,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/senior-business-analyst-technical.35C26E54.html
Data Analyst(Mới),,,2 - 5 Năm,CÔNG TY TNHH GIAO NHẬN THƯƠNG MẠI RỒNG Á CHÂU,Hồ Chí Minh,Cạnh tranh,"Python, Power BI, Qlik, Excel, MS Excel",Careerviet,https://careerviet.vn/vi/tim-viec-lam/data-analyst.35C27B7B.html
C&B Senior- Chuyên viên tiền lương & phúc lợi(Mới),,,2 - 10 Năm,Red Star Technology Company,Hồ Chí Minh,15 Tr - 40 Tr VND,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/c-b-senior-chuyen-vien-tien-luong-phuc-loi.35C27B54.html
Power Platform Developer(Mới),,,2 - 5 Năm,Công Ty TNHH Thương Mại Dịch Vụ  Giao Nhận Vận Tải Long Phú,Hồ Chí Minh,Cạnh tranh,Azure,Careerviet,https://careerviet.vn/vi/tim-viec-lam/power-platform-developer.35C27AE6.html
Software Engineer(Mới),,,,Công ty TNHH Greystone Data Systems Việt Nam,Hồ Chí Minh,10 Tr - 25 Tr VND,"Python, Linux",Careerviet,https://careerviet.vn/vi/tim-viec-lam/software-engineer.35C27B01.html
"IT Application Analyst (SHTP - District 9, HCMC)(Mới)",,,,Techtronic Industries Vietnam Manufacturing Company Limited,Hồ Chí Minh,Cạnh tranh,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/it-application-analyst-shtp-district-9-hcmc.35C27A16.html
Senior Backend Engineer(Mới),,,3 - 10 Năm,Medigo Software,Hồ Chí Minh,"1,000 - 1,500 USD","SQL, NodeJS, AWS, TypeScript",Careerviet,https://careerviet.vn/vi/tim-viec-lam/senior-backend-engineer.35C279D2.html
Application Developer,,,Trên 5 Năm,Masan Consumer,Hồ Chí Minh,Cạnh tranh,"SQL, JavaScript, HTML, CSS, React, Android, iOS",Careerviet,https://careerviet.vn/vi/tim-viec-lam/application-developer.35C24D69.html
Kỹ sư hệ thống (System Owner)(Mới),,,Trên 1 Năm,Công ty TNHH Viettel - CHT,Hà NộiHồ Chí Minh,Cạnh tranh,"Python, Docker, Kubernetes, Linux, Bash, TensorFlow, Keras, PyTorch, Machine Learning, Deep Learning, AI, VMware",Careerviet,https://careerviet.vn/vi/tim-viec-lam/ky-su-he-thong-system-owner.35C27900.html
System Engineer,,,2 - 5 Năm,CÔNG TY TNHH SKYLAB INNOGRAM VIỆT NAM,Hồ Chí Minh,Cạnh tranh,"Python, Kubernetes, AWS, Azure, MySQL, ElasticSearch, Terraform, Ansible, Linux, Bash, Agile, VMware, Kafka, Nginx",Careerviet,https://careerviet.vn/vi/tim-viec-lam/system-engineer.35C2655F.html
DevOps Engineer,,,,CÔNG TY TNHH SKYLAB INNOGRAM VIỆT NAM,Hồ Chí Minh,Cạnh tranh,"Python, Docker, Kubernetes, AWS, Azure, Jenkins, Git, CI/CD, Ansible, Linux, JIRA, TCP/IP, Load Balancing",Careerviet,https://careerviet.vn/vi/tim-viec-lam/devops-engineer.35C26559.html
"FrontEnd Developer (ReactJS, VueJS, HTML)",,,2 - 3 Năm,Công ty TNHH Nasys,Hồ Chí Minh,10 Tr - 16 Tr VND,"JavaScript, HTML, HTML5, CSS, CSS3, AJAX, Tailwind CSS, PHP, Angular, TypeScript, Bootstrap, Sass, Laravel, UI/UX",Careerviet,https://careerviet.vn/vi/tim-viec-lam/frontend-developer-reactjs-vuejs-html.35C274AE.html
Product Owner,,,,CareerViet,Hồ Chí Minh,Cạnh tranh,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/product-owner.35C1D9A5.html
Backend Developer (Java),,,,"HD SAISON Finance Co., Ltd",Hồ Chí Minh,Cạnh tranh,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/backend-developer-java.35C2745B.html
