Job Title,Role,Level,Years of Experience,Company,Location,Salary Range,Required Skills,Source Platform,Job Link
Data Analyst(Mới),N/A,N/A,2 - 5 Năm,CÔNG TY TNHH GIAO NHẬN THƯƠNG MẠI RỒNG Á CHÂU,Hồ Chí Minh,Cạnh tranh,"Python, Power BI, Qlik, Excel, MS Excel",Careerviet,https://careerviet.vn/vi/tim-viec-lam/data-analyst.35C27B7B.html
C&B Senior- Chuyên viên tiền lương & phúc lợi(Mới),N/A,N/A,2 - 10 Năm,Red Star Technology Company,Hồ Chí Minh,15 Tr - 40 Tr VND,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/c-b-senior-chuyen-vien-tien-luong-phuc-loi.35C27B54.html
Power Platform Developer(Mới),N/A,N/A,2 - 5 Năm,Công Ty TNHH Thương Mại Dịch Vụ  Giao Nhận Vận Tải Long Phú,Hồ Chí Minh,Cạnh tranh,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/power-platform-developer.35C27AE6.html
Software Engineer(Mới),N/A,N/A,N/A,Công ty TNHH Greystone Data Systems Việt Nam,Hồ Chí Minh,10 Tr - 25 Tr VND,Python,Careerviet,https://careerviet.vn/vi/tim-viec-lam/software-engineer.35C27B01.html
"IT Application Analyst (SHTP - District 9, HCMC)(Mới)",N/A,N/A,N/A,Techtronic Industries Vietnam Manufacturing Company Limited,Hồ Chí Minh,Cạnh tranh,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/it-application-analyst-shtp-district-9-hcmc.35C27A16.html
Senior Backend Engineer(Mới),N/A,N/A,3 - 10 Năm,Medigo Software,Hồ Chí Minh,"1,000 - 1,500 USD",SQL,Careerviet,https://careerviet.vn/vi/tim-viec-lam/senior-backend-engineer.35C279D2.html
Product Manager,N/A,N/A,N/A,CareerViet,Hồ Chí Minh,Cạnh tranh,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/product-manager.35C21DEE.html
Application Developer,N/A,N/A,Trên 5 Năm,Masan Consumer,Hồ Chí Minh,Cạnh tranh,"SQL, JavaScript, HTML, CSS, React",Careerviet,https://careerviet.vn/vi/tim-viec-lam/application-developer.35C24D69.html
Kỹ sư hệ thống (System Owner)(Mới),N/A,N/A,Trên 1 Năm,Công ty TNHH Viettel - CHT,Hà NộiHồ Chí Minh,Cạnh tranh,Python,Careerviet,https://careerviet.vn/vi/tim-viec-lam/ky-su-he-thong-system-owner.35C27900.html
System Engineer,N/A,N/A,2 - 5 Năm,CÔNG TY TNHH SKYLAB INNOGRAM VIỆT NAM,Hồ Chí Minh,Cạnh tranh,Python,Careerviet,https://careerviet.vn/vi/tim-viec-lam/system-engineer.35C2655F.html
DevOps Engineer,N/A,N/A,N/A,CÔNG TY TNHH SKYLAB INNOGRAM VIỆT NAM,Hồ Chí Minh,Cạnh tranh,Python,Careerviet,https://careerviet.vn/vi/tim-viec-lam/devops-engineer.35C26559.html
"FrontEnd Developer (ReactJS, VueJS, HTML)",N/A,N/A,2 - 3 Năm,Công ty TNHH Nasys,Hồ Chí Minh,10 Tr - 16 Tr VND,"JavaScript, HTML, CSS",Careerviet,https://careerviet.vn/vi/tim-viec-lam/frontend-developer-reactjs-vuejs-html.35C274AE.html
Product Owner,N/A,N/A,N/A,CareerViet,Hồ Chí Minh,Cạnh tranh,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/product-owner.35C1D9A5.html
Backend Developer (Java),N/A,N/A,N/A,"HD SAISON Finance Co., Ltd",Hồ Chí Minh,Cạnh tranh,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/backend-developer-java.35C2745B.html
Senior Product Owner,N/A,N/A,3 - 6 Năm,UrBox - Công ty Cổ phần Tiếp Thị Số Tô Quà,Hồ Chí Minh,Cạnh tranh,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/senior-product-owner.35C272DD.html
Product Business Analysis (Edutech),N/A,N/A,1 - 2 Năm,OMN1 Solution,Hồ Chí Minh,Cạnh tranh,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/product-business-analysis-edutech.35C1C10B.html
Chuyên Viên Vận Hành Hệ Thống - Tài Chính & Chi Phí (ITBP Finance & Costing Specialist),N/A,N/A,N/A,BETRIMEX - Công Ty Cổ Phần Xuất Nhập Khẩu Bến Tre,Hồ Chí Minh,Cạnh tranh,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-van-hanh-he-thong-tai-chinh-chi-phi-itbp-finance-costing-specialist.35C21DCF.html
DevOps & Security Manager,N/A,N/A,5 - 9 Năm,DatVietVAC Group Holdings,Hồ Chí Minh,Cạnh tranh,Python,Careerviet,https://careerviet.vn/vi/tim-viec-lam/devops-security-manager.35C1BD4B.html
SAP FICO CONSULTANT,N/A,N/A,Trên 2 Năm,CÔNG TY CỔ PHẦN CÔNG NGHỆ CITEK,Hồ Chí MinhHà Nội,Cạnh tranh,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/sap-fico-consultant.35C1BC92.html
Senior Business Analyst Technical,N/A,N/A,N/A,Công ty Cổ phần Sữa VitaDairy Việt Nam,Hồ Chí Minh,Cạnh tranh,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/senior-business-analyst-technical.35C26E54.html
Chuyên viên ERP - Chuyển Đổi Số,N/A,N/A,2 - 3 Năm,Công Ty Cổ Phần Xây Dựng Phước Thành,Hồ Chí Minh,20 Tr - 25 Tr VND,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-erp-chuyen-doi-so.35C261E5.html
DMS System Admin,N/A,N/A,1 - 3 Năm,CÔNG TY TNHH GLOBAL COMMERCIAL PARTNER,Hồ Chí Minh,11 Tr - 14 Tr VND,"Tableau, Power BI, Excel",Careerviet,https://careerviet.vn/vi/tim-viec-lam/dms-system-admin.35C1FE10.html
Senior Business Analyst,N/A,N/A,3 - 8 Năm,CÔNG TY TNHH CÔNG NGHỆ B2B,Hồ Chí Minh,"800 - 1,000 USD","Data analysis, Analysis",Careerviet,https://careerviet.vn/vi/tim-viec-lam/senior-business-analyst.35C1FBB1.html
Product Manager(Mới),N/A,N/A,3 - 5 Năm,UrBox - Công ty Cổ phần Tiếp Thị Số Tô Quà,Hồ Chí Minh,30 Tr - 50 Tr VND,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/product-manager.35C27D71.html
Chuyên viên phát triển ứng dụng(Mới),N/A,N/A,N/A,Ngân Hàng Thương Mại Cổ Phần Nam Á (Nam A Bank),Hồ Chí Minh,14 Tr - 20 Tr VND,Java,Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-phat-trien-ung-dung.35C27D04.html
Data Management Executive(Mới),N/A,N/A,N/A,Abbott,Hồ Chí Minh,Cạnh Tranh,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/data-management-executive.35C27CE1.html
Scrum Master(Mới),N/A,N/A,3 - 5 Năm,VIETNAM GOBUY E-COMMERCE - CÔNG TY TNHH THƯƠNG MẠI ĐIỆN TỬ GOBUY VIỆT NAM,Hồ Chí Minh,20 Tr - 35 Tr VND,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/scrum-master.35C27C9D.html
Nhân Viên Tư Vấn Phần Mềm EOffice(Mới),N/A,N/A,2 - 3 Năm,LacViet Computing Corporation,Hồ Chí Minh,Cạnh Tranh,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-tu-van-phan-mem-eoffice.35C27BCD.html
IT Business Analyst Executive(Mới),N/A,N/A,1 - 2 Năm,CÔNG TY TNHH Y TẾ VIỆT TIẾN,Hồ Chí Minh,10 Tr - 14 Tr VND,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/it-business-analyst-executive.35C27B52.html
Data Analytic Specialist (Contractor 1 year)(Mới),N/A,N/A,3 - 5 Năm,Công Ty Cổ Phần GreenFeed Việt Nam,Hồ Chí Minh,Cạnh Tranh,"SQL, Tableau, Power BI, Qlik, Excel, MS Excel, Data science",Careerviet,https://careerviet.vn/vi/tim-viec-lam/data-analytic-specialist-contractor-1-year.35C27B38.html
Nhân Viên Chăm Sóc Khách Hàng (Tiếng Trung),N/A,N/A,1 - 5 Năm,CÔNG TY TNHH TRIN TECH,Hồ Chí Minh,15 Tr - 25 Tr VND,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-cham-soc-khach-hang-tieng-trung.35C223E0.html
Nhân Viên Kinh Doanh,N/A,N/A,1 - 2 Năm,CÔNG TY CỔ PHẦN GIẢI PHÁP VÀ CÔNG NGHỆ VIETNIX,Hồ Chí Minh,8 Tr - 15 Tr VND,N/A,Careerviet,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh.35C22154.html
