Title,Company,Location,Salary,Posted Date,Link
CỘNG TÁC VIÊN DỊCH THUẬT,N/A,N/A,N/A,N/A,https://vn.indeed.com/rc/clk?jk=1b64723c18eded6e&bb=sThiR-tVNFQYJk43mZoaPbokynPIobWnkxLz8WpJMiQMJF7MeFP9RSJ72WH2WO4c4JPSig93WU-ZwGZ7fVwQnAIZAOkEdPK7B2WaJFr7WOKzVKX2j0aNDm6jE1kpo4jf&xkcb=SoCW67M35kIN0ZSL4R0LbzkdCdPP&fccid=8818c8bcb2f49d3e&vjs=3
IT Sourcer,N/A,N/A,N/A,N/A,https://vn.indeed.com/rc/clk?jk=9c5741d7cf302e8a&bb=sThiR-tVNFQYJk43mZoaPRp1raaa7zfEt_XfK9XXXO-yR_uaKdBDV7C-0jXSxUnQnXjSQ1JvourA5p4Ja4W4vvf-Dyyxp-hWi4Sn9f2W5DFo65VKtxzEaiIdas46v6A0&xkcb=SoAi67M35kIN0ZSL4R0KbzkdCdPP&fccid=139c24a6cad18045&vjs=3
Thực tập viên hoặc học việc IT,N/A,N/A,N/A,N/A,https://vn.indeed.com/rc/clk?jk=367bbce00aab7e18&bb=sThiR-tVNFQYJk43mZoaPZ0jvc8ss2NBMx68WdT0kScn7Ktfoda9U0drEqbokmKkA8fhGR9i8bb2O4t4z9XdwdCCdkVLkAgcqZ9H5Xqs6zt18K8DByRs0KFFHzQ_qDpO&xkcb=SoC_67M35kIN0ZSL4R0JbzkdCdPP&fccid=a002a3da65287b3f&vjs=3
Chuyên Viên IT (IT Support/ System) - Việc làm tiêu biểu,N/A,N/A,N/A,N/A,https://vn.indeed.com/rc/clk?jk=d3fcfc898e5f368d&bb=sThiR-tVNFQYJk43mZoaPcm6WCbsktquu5D6G5QWho0CgoNbt5PX5n9iy3ASt_v-xCks5tFwuAWcUpP4-qq2yholMh8eDmMCAkv2Jo-_7_M5qK-W4AEuEUy73eMi3eLG&xkcb=SoAL67M35kIN0ZSL4R0IbzkdCdPP&fccid=6bf726164c33d4cb&vjs=3
[HN] NHÂN VIÊN IT SUPPORT VĂN PHÒNG,N/A,N/A,N/A,N/A,https://vn.indeed.com/rc/clk?jk=d580d1597b96210a&bb=sThiR-tVNFQYJk43mZoaPUPREhar2m_DswD6jn5Yk3x3pKFEFqIwVnSiE8RNHxw-2xzWlDHcu1jo-GcNwy7wLQJ5ETQcO0VBcaSp6iA3qYgG1JzIojv8i2jUs-saMJGl&xkcb=SoCF67M35kIN0ZSL4R0PbzkdCdPP&fccid=b66256f4d62ba2fa&vjs=3
Lập trình viên Front-end (HTML/CSS) (Up tp 1000$),N/A,N/A,N/A,N/A,https://vn.indeed.com/rc/clk?jk=4717bf72240cab80&bb=sThiR-tVNFQYJk43mZoaPcytAxH08FeT5UvRRTDxWREihPybolD74q8Hi3w1GJProEFxjYr1kHX2lkIUMFz7uMXEg4ZU6amBWXmUVMvP1MtmpvD5bE1J63qPOhrm0hGq&xkcb=SoAx67M35kIN0ZSL4R0ObzkdCdPP&fccid=9e598cb8b5b9173e&vjs=3
Chuyên viên IT Helpdesk,N/A,N/A,N/A,N/A,https://vn.indeed.com/rc/clk?jk=3cd4588eb330e7a0&bb=sThiR-tVNFQYJk43mZoaPdQ9zqbbgbuJQvoHNUzz893Z1ruwUMGuVE-3hmZ6ng2QCVoH7Jj3vCnTw8_j3_VBE_-jMzWQffqMCrUx0X-vdqNCUrwkQlJHcPIM5Ohx77gQ&xkcb=SoCs67M35kIN0ZSL4R0NbzkdCdPP&fccid=b35455457a452ce9&vjs=3
Web Designer / Backend Programmer / Frontend Programmer,N/A,N/A,N/A,N/A,https://vn.indeed.com/rc/clk?jk=b91786ea8de4cded&bb=sThiR-tVNFQYJk43mZoaPYmtlIgtroz035qE1ZcKHEG3iD33MjHKh6_3lnN41bNnDo5hrumW3LjTZkXNJ3VZpq6JGi4M972Md9EDrRVn-y53wRaSx3PVLUaLFoAJe6qj&xkcb=SoAY67M35kIN0ZSL4R0MbzkdCdPP&fccid=6ac65f3f3054608c&cmp=Benstory-Vietnam&ti=Web+Developer&vjs=3
IT COMMUNICATOR,N/A,N/A,N/A,N/A,https://vn.indeed.com/rc/clk?jk=604065f9fa26c585&bb=sThiR-tVNFQYJk43mZoaPYQR3TpnJdEcoISbYvDfVlp-I4RR1GvHJdq8_s1QyDBH9kEUAVsljfIGIPQ76Ii64xaLMjdb6foiHqgLze1VrxGXn5Z7bkS_pcMNOd_PAIs4&xkcb=SoDx67M35kIN0ZSL4R0DbzkdCdPP&fccid=e0e4dbabf10e5424&vjs=3
IT comtor_Cầu Giấy,N/A,N/A,N/A,N/A,https://vn.indeed.com/rc/clk?jk=5beeb04206ba5cf7&bb=sThiR-tVNFQYJk43mZoaPRp1raaa7zfEHYpNpNa99GKMXB5R2-zQBYcJw88iYiI5BItKCKAVO_MWsrkumA1qFKbmteZTaH5_rHNphwYjrCvpbwRUseQbGe-BOAhbse5X&xkcb=SoBF67M35kIN0ZSL4R0CbzkdCdPP&fccid=be4dceabc2f026ea&cmp=VPDD-HR-PLUS-t%25E1%25BA%25A1i-HCM&ti=IT&vjs=3
